room_type,price_rank,neighbourhood_cleansed,num_listings,avg_price,median_price
Entire home/apt,119,Leimert Park,34,275.89,223.0
Entire home/apt,120,Mid-City,357,275.81,205.31
Entire home/apt,121,Azusa,77,274.45,247.33
Entire home/apt,122,Downtown,733,274.36,221.83
Entire home/apt,123,Van Nuys,150,273.24,212.4
Entire home/apt,124,Pomona,90,272.11,253.84
Entire home/apt,125,Hollywood,1030,270.87,203.13
Entire home/apt,126,Montecito Heights,55,267.06,192.21
Entire home/apt,127,Sylmar,35,266.21,198.0
Entire home/apt,128,Highland Park,158,265.25,193.43
Entire home/apt,129,Echo Park,234,263.92,202.39
Entire home/apt,130,Westlake,228,263.51,184.37
Entire home/apt,131,Mid-Wilshire,300,261.78,176.29
Entire home/apt,132,East Hollywood,207,260.85,173.3
Entire home/apt,133,Lake Balboa,83,260.57,200.0
Entire home/apt,134,South El Monte,31,259.61,228.81
Entire home/apt,135,East San Gabriel,79,259.57,214.61
Entire home/apt,136,South Gate,43,257.5,241.0
Entire home/apt,137,Sun Valley,69,255.71,160.09
Entire home/apt,138,Lancaster,172,253.17,227.25
Entire home/apt,139,Temple City,84,247.55,237.9
Entire home/apt,140,El Monte,183,247.25,188.8
Entire home/apt,141,South Whittier,38,246.94,212.0
Entire home/apt,142,South San Gabriel,43,236.78,203.0
Entire home/apt,143,Baldwin Park,99,236.52,181.0
Entire home/apt,144,Harbor Gateway,40,236.18,158.33
Entire home/apt,145,Lakewood,47,235.41,185.4
Entire home/apt,146,Exposition Park,78,234.28,172.09
Entire home/apt,147,Jefferson Park,80,231.8,158.57
Entire home/apt,148,Reseda,135,215.13,168.32
Entire home/apt,149,Koreatown,237,208.56,150.47
Entire home/apt,150,Panorama City,32,205.91,137.13
Entire home/apt,151,Canoga Park,55,193.0,158.0
Entire home/apt,152,Quartz Hill,30,191.92,167.43
Entire home/apt,153,Boyle Heights,63,187.02,132.77
Entire home/apt,154,Palms,151,179.55,129.72
Hotel room,1,Venice,34,1261.98,841.6
Hotel room,2,West Hollywood,73,712.57,575.0
Hotel room,3,Downtown,45,328.16,297.35
Private room,1,Beverly Hills,120,365.31,164.5
Private room,2,Santa Monica,194,300.09,210.6
