model,log_rmse,dollar_mae,dollar_rmse,r2_log_price
Hist Gradient Boosting,0.33627705220542103,91.36743790604496,190.68578209082244,0.8517699124970095
Random Forest,0.35017447831012094,94.08900582707862,197.89237504871892,0.8392648417627604
Ridge,0.4020649891853043,109.56621490209791,230.13004129027343,0.7880983119374785
Linear Regression,0.4028057220247135,109.66870337130949,229.96196142470365,0.7873168107821731
Median Baseline,0.8734865345955434,213.83352171008684,385.68187480398655,-0.00012510800722398407
