model,log_rmse,dollar_mae,dollar_rmse,r2_log_price
Hist Gradient Boosting,0.33627705220542103,91.36743790604496,190.68578209082244,0.8517699124970095
Random Forest,0.35017447831012094,94.08900582707861,197.89237504871892,0.8392648417627604
Ridge (Alpha=1.0),0.4020649891853043,109.56621490209791,230.13004129027343,0.7880983119374785
Ridge (Alpha=10.0),0.40210357131578056,109.5418248901055,231.14613899534865,0.7880576418415348
Ridge (Alpha=0.1),0.40278109046686783,109.65431052039041,229.94160249919085,0.7873428211281928
Linear Regression,0.4028057220247135,109.66870337130949,229.96196142470365,0.7873168107821731
Ridge (Alpha=100.0),0.40890637718376455,111.05992557486057,235.54486673042643,0.7808256794203754
Baseline Median:,0.8734322366793263,213.83565097566992,385.0890724712841,-7.717540178031612e-07
